id,channel,title,game,viewers,date
98009,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",15417,1542682854558
98010,xqcow,NA Streamer plays games,Witch It,13762,1542682854561
98017,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6440,1542682854581
98036,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3704,1542682854650
98083,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1248,1542682854786
98103,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24858,1542682915521
98109,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",15373,1542682915545
98110,xqcow,NA Streamer plays games,Witch It,13694,1542682915550
98117,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6429,1542682915573
98136,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3680,1542682915631
98180,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1324,1542682915762
98203,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24858,1542682976420
98209,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",15172,1542682976433
98210,xqcow,NA Streamer plays games,Witch It,13646,1542682976435
98217,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6345,1542682976450
98237,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3630,1542682976502
98277,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1353,1542682976609
98303,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24789,1542683037248
98309,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",15096,1542683037261
98310,xqcow,NA Streamer plays games,Witch It,13654,1542683037263
98316,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6343,1542683037275
98335,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3776,1542683037315
98386,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1199,1542683037448
98403,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24647,1542683097991
98409,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",15026,1542683098013
98410,xqcow,NA Streamer plays games,Witch It,13540,1542683098017
98416,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6309,1542683098038
98438,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3456,1542683098135
